Air Pollutant Index Api,Selected Stations,Year,Value
Max.,"Cheras, Kuala Lumpur",2000,141
Max.,"Cheras, Kuala Lumpur",2001,157
Max.,"Cheras, Kuala Lumpur",2002,153
Max.,"Cheras, Kuala Lumpur",2003,143
Max.,"Cheras, Kuala Lumpur",2004,97
Max.,"Cheras, Kuala Lumpur",2005,390
Max.,"Cheras, Kuala Lumpur",2006,162
Max.,"Cheras, Kuala Lumpur",2007,131
Max.,"Cheras, Kuala Lumpur",2008,135
Max.,"Cheras, Kuala Lumpur",2009,168
Max.,"Cheras, Kuala Lumpur",2010,169
Max.,"Cheras, Kuala Lumpur",2011,150
Max.,"Cheras, Kuala Lumpur",2012,155
Max.,"Cheras, Kuala Lumpur",2013,186
Max.,"Cheras, Kuala Lumpur",2014,170
Max.,"Cheras, Kuala Lumpur",2015,185
Max.,"Cheras, Kuala Lumpur",2016,151
Max.,"Cheras, Kuala Lumpur",2017,181
Max.,"Cheras, Kuala Lumpur",2018,142
Max.,"Cheras, Kuala Lumpur",2019,189
Max.,"Larkin, Johor Bahru",2000,119
Max.,"Larkin, Johor Bahru",2001,119
Max.,"Larkin, Johor Bahru",2002,116
Max.,"Larkin, Johor Bahru",2003,112
Max.,"Larkin, Johor Bahru",2004,126
Max.,"Larkin, Johor Bahru",2005,111
Max.,"Larkin, Johor Bahru",2006,143
Max.,"Larkin, Johor Bahru",2007,141
Max.,"Larkin, Johor Bahru",2008,101
Max.,"Larkin, Johor Bahru",2009,99
Max.,"Larkin, Johor Bahru",2010,111
Max.,"Larkin, Johor Bahru",2011,84
Max.,"Larkin, Johor Bahru",2012,137
Max.,"Larkin, Johor Bahru",2013,226
Max.,"Larkin, Johor Bahru",2014,198
Max.,"Larkin, Johor Bahru",2015,192
Max.,"Larkin, Johor Bahru",2016,109
Max.,"Larkin, Johor Bahru",2017,77
Max.,"Larkin, Johor Bahru",2018,87
Max.,"Larkin, Johor Bahru",2019,171
Max.,"Bandaraya Melaka, Melaka",2000,122
Max.,"Bandaraya Melaka, Melaka",2001,127
Max.,"Bandaraya Melaka, Melaka",2002,105
Max.,"Bandaraya Melaka, Melaka",2003,114
Max.,"Bandaraya Melaka, Melaka",2004,147
Max.,"Bandaraya Melaka, Melaka",2005,114
Max.,"Bandaraya Melaka, Melaka",2006,153
Max.,"Bandaraya Melaka, Melaka",2007,92
Max.,"Bandaraya Melaka, Melaka",2008,80
Max.,"Bandaraya Melaka, Melaka",2009,137
Max.,"Bandaraya Melaka, Melaka",2010,139
Max.,"Bandaraya Melaka, Melaka",2011,97
Max.,"Bandaraya Melaka, Melaka",2012,83
Max.,"Bandaraya Melaka, Melaka",2013,415
Max.,"Bandaraya Melaka, Melaka",2014,128
Max.,"Bandaraya Melaka, Melaka",2015,176
Max.,"Bandaraya Melaka, Melaka",2016,87
Max.,"Bandaraya Melaka, Melaka",2017,122
Max.,"Bandaraya Melaka, Melaka",2018,140
Max.,"Bandaraya Melaka, Melaka",2019,224
Max.,"Seberang Jaya, Pulau Pinang",2000,127
Max.,"Seberang Jaya, Pulau Pinang",2001,140
Max.,"Seberang Jaya, Pulau Pinang",2002,115
Max.,"Seberang Jaya, Pulau Pinang",2003,106
Max.,"Seberang Jaya, Pulau Pinang",2004,121
Max.,"Seberang Jaya, Pulau Pinang",2005,151
Max.,"Seberang Jaya, Pulau Pinang",2006,121
Max.,"Seberang Jaya, Pulau Pinang",2007,101
Max.,"Seberang Jaya, Pulau Pinang",2008,99
Max.,"Seberang Jaya, Pulau Pinang",2009,106
Max.,"Seberang Jaya, Pulau Pinang",2010,93
Max.,"Seberang Jaya, Pulau Pinang",2011,98
Max.,"Seberang Jaya, Pulau Pinang",2012,105
Max.,"Seberang Jaya, Pulau Pinang",2013,132
Max.,"Seberang Jaya, Pulau Pinang",2014,119
Max.,"Seberang Jaya, Pulau Pinang",2015,287
